rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4913	781	777	948.936	1070.55	1227.43	-0.284418	0.437839	0.608975	0.569007	0.572319	0.509116	484	0	98	0.999596	0.118078	0.200692	0.107367	0.107375	0.0175034	1266	nan	nan	nan
0	1	6313	1335	1317	1219.34	1219.11	1209.38	0.013728	-0.00066393	-0.158128	-0.251744	-0.153662	-0.230804	624	0	97	0.999394	0.0768378	0.136544	0.0944565	0.0944843	0.0157153	2412	2885	0	0.0321312
1	0	4846	854	849	935.995	1102.17	1106.08	-0.0071888	0.60651	0.532438	0.291866	0.500887	0.265884	468	0	98	0.999596	0.113519	0.191704	0.111967	0.111977	0.0166323	1370	nan	nan	nan
1	1	5904	1068	1053	1140.35	1159.36	1091.99	0.101647	0.0569689	0.18368	0.240708	0.16348	0.200248	583	0	97	0.999394	0.0813146	0.143293	0.0963889	0.0964136	0.0152249	2248	2796	0	0.0326865
2	0	5189	909	903	1002.24	1144.85	1299.71	-0.265842	0.486127	0.475098	0.31104	0.446403	0.28073	484	0	97	0.999394	0.127795	0.215456	0.108572	0.108583	0.0166995	1382	nan	nan	nan
2	1	6424	1286	1271	1240.78	1228.98	1283.1	-0.0750499	-0.0324949	-0.0666996	-0.0765539	-0.0650277	-0.0717397	614	0	98	0.999596	0.0887436	0.155044	0.0936628	0.0936858	0.0141506	2388	2962	0	0.0429656
3	0	5122	947	921	989.304	1123.33	1297.62	-0.30311	0.462841	0.402645	0.216858	0.343035	0.143881	470	0	99	0.999798	0.123023	0.209293	0.107819	0.107869	0.0173006	1301	nan	nan	nan
3	1	6540	1264	1255	1263.19	1253.83	1210.07	0.0596141	-0.0253144	-0.0018249	0.0203764	0.00357259	0.0257594	619	0	99	0.999798	0.0787582	0.141131	0.0939346	0.0939482	0.0142859	2439	3049	0	0.0420063
4	0	5327	942	939	1028.9	1158.06	1207.03	-0.0819004	0.428881	0.419195	0.274479	0.400301	0.257402	488	0	98	0.999596	0.116786	0.198048	0.106934	0.10694	0.0154883	1516	nan	nan	nan
4	1	6340	1307	1278	1224.56	1204.86	1223.41	-0.0260668	-0.0549753	-0.117647	-0.13718	-0.132909	-0.155838	590	0	95	0.99899	0.0892885	0.155678	0.0929711	0.0930154	0.0148819	2321	3038	0	0.0279971
5	0	4848	856	847	936.381	1112.64	1161.59	-0.0899343	0.643052	0.558436	0.299749	0.517241	0.261097	466	0	99	0.999798	0.114298	0.198432	0.112995	0.113013	0.0171625	1295	nan	nan	nan
5	1	6411	1331	1310	1238.27	1208.49	1163.28	0.0628263	-0.0821723	-0.161462	-0.182087	-0.161134	-0.176435	640	0	98	0.999596	0.0706708	0.127905	0.0921891	0.0922206	0.0140706	2518	2859	0	0.0447427
6	0	4775	741	736	922.282	1119.56	1291.72	-0.321136	0.730738	0.818633	0.634224	0.764279	0.562365	465	0	97	0.999394	0.155635	0.257801	0.115686	0.115696	0.0176819	1196	nan	nan	nan
6	1	6434	1194	1180	1242.71	1289.94	1241.5	0.0670805	0.129851	0.174251	0.158636	0.158621	0.134268	646	0	99	0.999798	0.0896938	0.154958	0.0983967	0.0984179	0.0142097	2523	2907	0	0.0428671
