rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4563	796	794	881.334	1018.49	1037.3	-0.0367136	0.531647	0.501347	0.311096	0.477494	0.290924	427	0	98	0.999596	0.118369	0.200964	0.109869	0.109873	0.0178142	1246	nan	nan	nan
0	1	5836	1091	1076	1127.21	1114.16	1069.72	0.0678477	-0.0395532	0.066673	0.142768	0.0552244	0.114972	552	0	95	0.998788	0.0760925	0.134681	0.0935965	0.0936218	0.0148671	2300	2686	0	0.0398212
1	0	4936	782	776	953.378	1098.25	1199.08	-0.181963	0.519134	0.665401	0.584294	0.620821	0.516705	471	0	100	1	0.116312	0.199959	0.109672	0.109684	0.0168462	1266	nan	nan	nan
1	1	6157	1085	1069	1189.21	1189.13	1176.83	0.0178061	-0.000228063	0.198958	0.317714	0.17666	0.26614	589	0	96	0.99899	0.0826836	0.145038	0.094818	0.0948431	0.0149567	2271	2933	0	0.0305244
2	0	5298	772	755	1023.3	1179.71	1278.72	-0.166467	0.522218	0.817176	0.82363	0.741562	0.695973	493	0	98	0.999596	0.123844	0.211967	0.109886	0.109917	0.0174289	1345	nan	nan	nan
2	1	6348	1184	1176	1226.1	1273.37	1238.95	0.0483152	0.131738	0.156424	0.128449	0.150835	0.121027	596	0	99	0.999798	0.0833465	0.145715	0.0984421	0.0984544	0.014173	2192	3144	0	0.0311125
3	0	4525	703	691	873.995	1062.95	1062.93	2.3063e-05	0.738536	0.837596	0.657302	0.766732	0.55979	438	0	97	0.999394	0.125553	0.215028	0.115907	0.115933	0.0176978	1180	nan	nan	nan
3	1	5978	1117	1113	1154.64	1165.85	1087.36	0.116982	0.0331917	0.0901519	0.113332	0.0949798	0.116267	607	0	99	0.999798	0.0783002	0.139177	0.0956515	0.0956581	0.0141595	2368	2731	0	0.0388979
4	0	4904	794	782	947.198	1142.1	1197.21	-0.100101	0.702974	0.7484	0.547706	0.686511	0.467651	465	0	98	0.999596	0.131144	0.221044	0.114835	0.114859	0.0173173	1231	nan	nan	nan
4	1	6084	1170	1151	1175.11	1171.13	1266.38	-0.139475	-0.0115714	0.0337422	0.0644895	0.0199525	0.0393525	583	0	98	0.999596	0.093375	0.161736	0.0943364	0.0943667	0.0146841	2207	2924	0	0.0269194
5	0	4924	638	631	951.061	1170.41	1264.8	-0.170752	0.787936	1.11652	1.05686	1.03467	0.923321	463	0	97	0.999192	0.138737	0.230707	0.117556	0.11757	0.0181946	1202	nan	nan	nan
5	1	6177	1144	1126	1193.08	1236.95	1314.79	-0.112267	0.125652	0.183155	0.176703	0.159866	0.13952	582	0	96	0.999192	0.0989313	0.170471	0.0982836	0.0983123	0.0152753	2215	2951	0	0.031344
6	0	4707	685	666	909.148	1089.14	1164.98	-0.143515	0.67634	0.916128	0.839741	0.825559	0.698365	441	0	97	0.999394	0.138972	0.233694	0.114247	0.114286	0.0194066	1159	nan	nan	nan
6	1	5859	1211	1191	1131.65	1138.01	1197.75	-0.0908332	0.0191885	-0.0922155	-0.164798	-0.0982872	-0.163407	547	0	100	1	0.0940594	0.165045	0.0950612	0.0950945	0.0142415	2113	2866	0	0.0310624
7	0	4572	601	598	883.073	1071.1	1161.27	-0.175665	0.727361	1.05445	1.01348	0.984536	0.89658	441	0	99	0.999798	0.134981	0.225722	0.115828	0.115835	0.0186049	1111	nan	nan	nan
7	1	6298	1229	1213	1216.45	1184.94	1197	-0.0170551	-0.0884951	-0.0454309	0.00890424	-0.0477185	-0.000597073	601	0	97	0.999394	0.0816262	0.142744	0.0921357	0.0921604	0.0145508	2522	2778	0	0.0370781
8	0	4716	698	682	910.886	1088.1	1362.16	-0.517613	0.664632	0.877563	0.788984	0.7961	0.663447	422	0	98	0.999596	0.147402	0.244911	0.11389	0.113923	0.0189157	1157	nan	nan	nan
8	1	6110	1078	1072	1180.13	1233.88	1266.04	-0.0468979	0.155605	0.270152	0.287983	0.258021	0.263176	590	0	98	0.999596	0.0918317	0.15761	0.0992178	0.0992274	0.015849	2293	2907	0	0.0459354
9	0	4523	707	695	873.608	1035.7	1238.54	-0.399429	0.633838	0.767574	0.641829	0.701845	0.546364	403	0	99	0.999798	0.159222	0.255804	0.112939	0.112965	0.0192687	1136	nan	nan	nan
9	1	6093	1128	1118	1176.85	1148.74	1356.85	-0.304292	-0.081612	0.0514466	0.157167	0.0497142	0.14054	556	0	96	0.99899	0.10128	0.169375	0.092429	0.0924447	0.0152271	2381	2744	0	0.0443217
0	0	4567	636	621	882.107	1078.92	1105.91	-0.0526386	0.762194	1.02174	0.929287	0.930076	0.786593	441	0	98	0.999596	0.132501	0.224217	0.116735	0.116767	0.0185737	1210	nan	nan	nan
0	1	5719	1030	1006	1104.61	1167.1	1097.21	0.108863	0.193266	0.28719	0.28052	0.243773	0.211408	553	0	94	0.998788	0.0886674	0.154398	0.100247	0.100288	0.0153655	2135	2716	0	0.0324164
1	0	4976	820	809	961.104	1085.26	1214.22	-0.230846	0.441321	0.56586	0.497028	0.519662	0.427058	469	0	100	1	0.113166	0.195338	0.107412	0.107434	0.0188659	1189	nan	nan	nan
1	1	6118	952	938	1181.68	1228.58	1145.48	0.121009	0.135617	0.484308	0.648122	0.442365	0.55679	582	0	96	0.999192	0.0797777	0.138444	0.0988608	0.0988834	0.0153817	2114	3052	0	0.0453413
