rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4346	636	624	839.421	1024.61	1097.75	-0.149894	0.753617	0.939203	0.805497	0.859132	0.686721	400	0	98	0.999596	0.140621	0.235159	0.116429	0.116455	0.0201966	1020	nan	nan	nan
0	1	5932	1026	1021	1145.75	1117.86	1154.02	-0.0543077	-0.0831879	0.166485	0.342181	0.162837	0.312101	546	0	98	0.999596	0.0854831	0.151382	0.092504	0.0925122	0.0155349	2317	2726	0	0.0293183
1	0	4570	615	603	882.686	997.533	1133.7	-0.26538	0.444476	0.879735	0.994761	0.804107	0.852614	425	0	99	0.999798	0.123441	0.207877	0.107802	0.107827	0.0187377	1182	nan	nan	nan
1	1	5766	1165	1146	1113.69	1077.83	1086.25	-0.0130168	-0.110027	-0.120544	-0.0911603	-0.123888	-0.0979354	541	0	96	0.999192	0.0808326	0.141172	0.091463	0.0914949	0.0158657	2169	2729	0	0.0408956
2	0	4630	621	606	894.275	1084.67	1284.22	-0.383873	0.72732	1.05355	1.01208	0.959517	0.858962	410	0	100	1	0.146468	0.243413	0.115801	0.115832	0.0197532	1103	nan	nan	nan
2	1	5980	1027	1006	1155.02	1210.31	1319.85	-0.163182	0.163555	0.348369	0.405483	0.306211	0.329322	570	0	99	0.999798	0.0980097	0.171739	0.099489	0.0995229	0.0148903	2194	2846	0	0.0390218
3	0	4550	657	629	878.823	1066.99	1235.81	-0.330465	0.731451	0.980928	0.892436	0.865567	0.714239	409	0	99	0.999798	0.144427	0.24	0.115818	0.115877	0.0209975	1026	nan	nan	nan
3	1	5822	937	915	1124.51	1217.05	1199.91	0.0262272	0.281202	0.528976	0.585467	0.470219	0.481515	575	0	95	0.99899	0.0951727	0.163346	0.102922	0.102959	0.0162175	2091	2850	0	0.0433545
4	0	4828	614	583	932.518	1164.54	1290.02	-0.231502	0.850021	1.2276	1.17698	1.09025	0.957004	458	0	97	0.999394	0.149161	0.252071	0.11935	0.119408	0.0208991	1076	nan	nan	nan
4	1	6108	1057	1057	1179.75	1244.18	1222.05	0.0322805	0.186605	0.312476	0.327009	0.306254	0.310834	582	0	99	0.999798	0.0990666	0.169777	0.100125	0.100125	0.0145631	2132	3015	0	0.0312656
5	0	4739	677	657	915.328	1140.14	1248.87	-0.204364	0.839052	1.03899	0.88617	0.93755	0.736008	444	0	97	0.999394	0.150696	0.25153	0.118872	0.118913	0.0187335	1219	nan	nan	nan
5	1	5841	907	892	1128.18	1254.08	1237.15	0.0258314	0.381321	0.632045	0.657856	0.576753	0.561303	557	0	97	0.999394	0.102397	0.178052	0.10581	0.105835	0.0170483	2117	2824	0	0.0381658
6	0	4567	541	540	882.107	1045.3	1197.65	-0.297121	0.631994	1.12746	1.21757	1.05518	1.07962	433	0	100	1	0.138852	0.231005	0.11326	0.113262	0.0188682	1068	nan	nan	nan
6	1	5814	1061	1058	1122.96	1158.14	1168.93	-0.0165323	0.107035	0.175613	0.181786	0.175299	0.177738	554	0	99	0.999798	0.085154	0.149983	0.0977839	0.0977889	0.0153011	2091	2849	0	0.034416
7	0	4548	583	571	878.437	1098.36	1214.99	-0.228403	0.855259	1.18159	1.09873	1.08345	0.942544	425	0	98	0.999596	0.161425	0.265611	0.119477	0.119503	0.0220921	1040	nan	nan	nan
7	1	5975	1161	1154	1154.06	1203.71	1232.41	-0.0427963	0.146999	0.0848286	0.00016113	0.0859942	0.011128	558	0	99	0.999798	0.102444	0.173724	0.098802	0.0988133	0.0154153	2222	2811	0	0.0406042
8	0	4603	580	575	889.06	1073.3	1228.78	-0.300845	0.707939	1.10318	1.10905	1.02516	0.97334	430	0	98	0.999596	0.141243	0.23854	0.115336	0.115346	0.0210798	1044	nan	nan	nan
8	1	5766	932	923	1113.69	1164.94	1203.6	-0.0597234	0.157244	0.427815	0.538042	0.397415	0.471693	581	0	97	0.999394	0.0895056	0.156608	0.0994105	0.0994258	0.0148824	2029	2876	0	0.0474473
