rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
4	0	4526	403	393	874.188	1094.61	1271.79	-0.34866	0.861372	1.57964	1.72801	1.45311	1.49397	437	0	89	0.997576	0.160221	0.268449	0.120043	0.120064	0.0236859	938	nan	nan	nan
4	1	5938	961	941	1146.91	1181.69	1272.55	-0.136306	0.103621	0.4133	0.564218	0.366871	0.468884	555	0	98	0.999596	0.0939869	0.160997	0.0978971	0.0979291	0.0164269	2086	2949	0	0.0349242
5	0	4622	466	458	892.73	1107.44	1199.9	-0.178171	0.821613	1.43187	1.52889	1.32164	1.32811	426	0	92	0.99697	0.144125	0.23691	0.118801	0.118818	0.024396	956	nan	nan	nan
5	1	5880	1020	1012	1135.71	1185.9	1221.51	-0.0539459	0.151009	0.301553	0.342308	0.283293	0.304916	549	0	99	0.999798	0.0961048	0.167347	0.0991193	0.0991326	0.016105	2021	2948	0	0.0319467
6	0	4388	401	393	847.533	1126.38	1118.75	0.0154962	1.12392	1.70296	1.68339	1.57141	1.46079	401	0	91	0.998182	0.156599	0.259572	0.127441	0.127458	0.0265967	861	nan	nan	nan
6	1	5938	1051	1036	1146.91	1175.5	1192.66	-0.0257528	0.0851604	0.239534	0.30391	0.215065	0.255213	553	0	97	0.999394	0.0921341	0.161839	0.0972225	0.0972469	0.0154033	2156	2887	0	0.0256493
7	0	4463	387	381	862.019	1121.66	1219.65	-0.195554	1.02893	1.69103	1.75168	1.56442	1.52669	411	0	91	0.997576	0.156656	0.265516	0.124806	0.124818	0.0268169	896	nan	nan	nan
7	1	5979	1123	1104	1154.83	1183.68	1263.49	-0.118909	0.0853655	0.13589	0.138331	0.113773	0.10256	589	0	97	0.999394	0.0868183	0.153872	0.0971213	0.0971523	0.0152155	2170	2887	0	0.0419757
8	0	4932	432	417	952.606	1223.27	1311.14	-0.158702	0.970674	1.66618	1.76574	1.52534	1.51481	461	0	100	1	0.141148	0.238848	0.123142	0.123172	0.022369	1060	nan	nan	nan
8	1	6257	1024	1011	1208.53	1277.67	1300.78	-0.0329063	0.195483	0.434596	0.513735	0.398999	0.443316	600	0	98	0.999596	0.0917519	0.159022	0.100472	0.100492	0.0161905	2155	3103	0	0.0261512
9	0	4101	394	384	792.1	1006.11	1046.53	-0.0877704	0.922904	1.54539	1.61667	1.4199	1.39442	379	0	90	0.997576	0.136098	0.228969	0.121719	0.121742	0.0264032	866	nan	nan	nan
9	1	5612	992	982	1083.95	1078.29	1093.87	-0.0247296	-0.0178255	0.174928	0.295511	0.16215	0.258439	529	0	99	0.999798	0.0830511	0.144512	0.0943138	0.0943313	0.0156606	2140	2639	0	0.0342526
0	0	4714	498	482	910.5	1144.64	1233.16	-0.167268	0.878489	1.43253	1.47769	1.30697	1.26028	443	0	92	0.998182	0.142584	0.239924	0.120367	0.120399	0.0253914	891	nan	nan	nan
0	1	6210	1103	1080	1199.45	1264.94	1267.12	-0.0031353	0.18656	0.303676	0.313011	0.263484	0.246484	600	0	98	0.999596	0.0848768	0.150564	0.100083	0.100119	0.0149421	2143	3054	0	0.0289893
1	0	4701	364	363	907.989	1184.57	1163.31	0.0402714	1.0406	1.78102	1.88458	1.6577	1.65773	439	0	92	0.998182	0.136809	0.230589	0.12522	0.125222	0.0233769	949	nan	nan	nan
1	1	5854	1052	1048	1130.69	1198.17	1169.41	0.0437755	0.203923	0.261553	0.229813	0.253181	0.216992	568	0	99	0.999798	0.0975568	0.169286	0.100551	0.100558	0.0156255	1931	3053	0	0.0325884
2	0	4476	426	420	864.53	1111.28	1178.66	-0.134088	0.974985	1.57371	1.61412	1.4564	1.40752	432	0	87	0.997374	0.143464	0.242851	0.123193	0.123207	0.0246026	883	nan	nan	nan
2	1	5923	937	921	1144.02	1220.26	1230.87	-0.0159615	0.227717	0.515162	0.612624	0.467331	0.520226	598	0	96	0.999192	0.0893279	0.156002	0.101437	0.101463	0.015577	2070	2921	0	0.0381242
3	0	4645	399	388	897.172	1142.08	1249.63	-0.206229	0.932554	1.65438	1.78186	1.52064	1.53836	442	0	92	0.998384	0.152455	0.254467	0.122084	0.122107	0.0258108	920	nan	nan	nan
3	1	6003	996	986	1159.47	1227.81	1257.22	-0.0436324	0.201414	0.410736	0.470186	0.380979	0.411405	593	0	99	0.999798	0.089137	0.158754	0.100615	0.100632	0.0151458	2082	3057	0	0.0283414
4	0	4704	383	374	908.568	1178.49	1333.31	-0.29315	1.0149	1.74289	1.84737	1.60662	1.60152	439	0	90	0.99798	0.160111	0.267857	0.124458	0.124477	0.0276464	924	nan	nan	nan
