rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4344	754	743	839.035	1038.54	1063.63	-0.0514413	0.812234	0.693182	0.359256	0.635611	0.303184	409	0	100	1	0.141147	0.234807	0.117809	0.117833	0.0183184	1156	nan	nan	nan
0	1	5899	1125	1119	1139.38	1133.43	1103.2	0.045658	-0.0178437	0.0249409	0.0562107	0.0315563	0.0618685	539	0	97	0.999394	0.0810444	0.142227	0.0941736	0.0941837	0.0146509	2429	2582	0	0.0405323
1	0	4869	776	757	940.438	1177.93	1214.74	-0.0673334	0.862738	0.881095	0.612533	0.795623	0.50333	462	0	98	0.999596	0.137839	0.231054	0.11938	0.119418	0.0185602	1192	nan	nan	nan
1	1	6391	1244	1237	1234.41	1236.03	1251.43	-0.0214679	0.00448031	-0.00155211	-0.00659861	0.00661264	0.00634847	619	0	96	0.999192	0.0812207	0.14051	0.0947668	0.0947773	0.0147067	2434	2915	0	0.0343647
2	0	4898	755	727	946.039	1133.66	1203.21	-0.126475	0.677541	0.846199	0.7271	0.745595	0.577045	476	0	100	1	0.121095	0.20784	0.114192	0.114248	0.0175266	1267	nan	nan	nan
2	1	6124	1080	1069	1182.84	1197.89	1202.47	-0.00666425	0.0434842	0.214612	0.302484	0.198786	0.26426	587	0	95	0.99899	0.0834558	0.14631	0.0960532	0.0960707	0.0155253	2229	2935	0	0.0313914
3	0	5080	799	795	981.192	1140.1	1280.36	-0.245942	0.553313	0.692435	0.596008	0.649837	0.532877	479	0	100	1	0.130538	0.212795	0.110649	0.110656	0.0172739	1306	nan	nan	nan
3	1	6074	1018	1014	1173.18	1206.73	1260.44	-0.0787733	0.0977183	0.323548	0.426435	0.30978	0.387695	587	0	96	0.999192	0.0931994	0.157392	0.0976691	0.0976756	0.0153154	2112	2975	0	0.0317552
4	0	5014	779	770	968.444	1133.55	1206.31	-0.129262	0.582443	0.739028	0.643556	0.683357	0.559889	458	0	97	0.999192	0.122282	0.206621	0.111492	0.111509	0.0170182	1286	nan	nan	nan
4	1	6345	1147	1129	1225.52	1224.98	1282.17	-0.0802908	-0.00150359	0.154264	0.247572	0.133373	0.202004	605	0	99	0.999798	0.0848045	0.148779	0.0947316	0.0947596	0.0147233	2325	2970	0	0.0307313
5	0	4894	797	790	945.266	1164.66	1178.99	-0.0260828	0.792933	0.780252	0.515826	0.725765	0.45435	460	0	99	0.999798	0.137543	0.227421	0.117367	0.117381	0.0179419	1170	nan	nan	nan
5	1	6323	1153	1144	1221.27	1245.28	1203.27	0.0591958	0.0671608	0.163338	0.198888	0.155312	0.179755	600	0	99	0.999798	0.0858905	0.149613	0.0966589	0.0966729	0.0147312	2342	2975	0	0.0275094
6	0	4974	789	771	960.718	1136.53	1231.55	-0.17015	0.625212	0.749024	0.620186	0.675695	0.513942	455	0	99	0.999798	0.121456	0.208685	0.11267	0.112705	0.0179279	1282	nan	nan	nan
6	1	6131	1181	1175	1184.19	1221.55	1201.35	0.0293519	0.107811	0.0774275	0.024392	0.0807937	0.0348426	576	0	98	0.999596	0.0836868	0.148263	0.0977061	0.0977157	0.0150143	2208	2972	0	0.0317739
7	0	5324	833	827	1028.32	1249.83	1316.45	-0.111464	0.735967	0.809601	0.615011	0.755238	0.544536	516	0	98	0.999596	0.128875	0.21544	0.115818	0.115829	0.0166916	1308	nan	nan	nan
7	1	6289	1097	1085	1214.71	1305.45	1273.76	0.0448938	0.255261	0.357452	0.335637	0.330056	0.291401	632	0	96	0.999192	0.0974873	0.166163	0.102056	0.102075	0.015428	2114	3147	0	0.032346
8	0	4904	722	715	947.198	1112.91	1071.01	0.0760993	0.597683	0.826975	0.769842	0.767663	0.674519	472	0	96	0.999192	0.105446	0.184543	0.112003	0.112017	0.0170907	1248	nan	nan	nan
8	1	6088	1110	1092	1175.88	1155.76	1086.36	0.101557	-0.058477	0.106792	0.224207	0.0883497	0.18008	595	0	96	0.999192	0.0749138	0.133049	0.0931099	0.0931388	0.0150027	2197	2938	0	0.0322407
9	0	4796	796	782	926.338	1111.07	1205.64	-0.175632	0.68128	0.69927	0.489277	0.636856	0.410375	477	0	98	0.999596	0.128467	0.216847	0.114183	0.114211	0.0180869	1252	nan	nan	nan
9	1	6082	1103	1098	1174.73	1187.52	1239.41	-0.0760112	0.0372092	0.150081	0.205275	0.148609	0.19377	580	0	99	0.999798	0.0866634	0.151266	0.0958193	0.0958274	0.0144106	2273	2851	0	0.0309369
0	0	4813	728	712	929.621	1126.64	1152.8	-0.0484171	0.724015	0.877994	0.735099	0.797447	0.617696	478	0	100	1	0.130715	0.221691	0.115536	0.115568	0.0176694	1222	nan	nan	nan
