rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4890	809	796	944.494	1134.2	1278.29	-0.262457	0.686185	0.704889	0.493728	0.644478	0.417895	460	0	98	0.999596	0.138065	0.231288	0.114324	0.11435	0.0174797	1273	nan	nan	nan
0	1	6275	1167	1139	1212	1260.86	1277.22	-0.0232172	0.13775	0.198037	0.189327	0.159099	0.128628	600	0	96	0.999192	0.089576	0.156016	0.0986208	0.098663	0.0154394	2370	2879	0	0.0399995
1	0	4804	850	835	927.883	1094.78	1174.43	-0.14767	0.614496	0.551121	0.314333	0.498522	0.255901	458	0	99	0.999798	0.132834	0.222315	0.112183	0.112213	0.0163002	1228	nan	nan	nan
1	1	6009	1125	1099	1160.63	1181.88	1185.56	-0.00545228	0.0625658	0.140633	0.166873	0.107247	0.111089	593	0	98	0.999596	0.0882157	0.15327	0.0964823	0.0965241	0.0149734	2224	2879	0	0.0328187
2	0	4810	786	784	929.042	1170.92	1128.31	0.0788915	0.88943	0.81981	0.490238	0.772117	0.446476	475	0	98	0.999596	0.128301	0.215593	0.120088	0.120092	0.0173858	1309	nan	nan	nan
2	1	6265	1205	1186	1210.07	1210.95	1230.34	-0.0275709	0.00248558	0.0406138	0.0625279	0.0271829	0.0389226	596	0	98	0.999596	0.0822158	0.145411	0.094733	0.0947622	0.0149482	2467	2841	0	0.0345761
3	0	4881	885	875	942.755	1090.87	1116.46	-0.0467014	0.536737	0.450755	0.225694	0.415968	0.194209	475	0	99	0.999798	0.111885	0.192788	0.109942	0.109961	0.0164241	1374	nan	nan	nan
3	1	5991	1195	1184	1157.15	1159.65	1187.1	-0.0408172	0.0073813	-0.0414438	-0.0729239	-0.0369476	-0.0615639	581	0	98	0.999394	0.0816361	0.144216	0.094799	0.094817	0.0146228	2268	2795	0	0.034747
4	0	4990	906	883	963.808	1123.95	1163.18	-0.0700411	0.567639	0.492151	0.263318	0.430182	0.19073	476	0	99	0.999798	0.118461	0.202405	0.110817	0.110861	0.0168559	1322	nan	nan	nan
4	1	6239	1127	1113	1205.05	1208.44	1129.21	0.113142	0.00962545	0.155998	0.240096	0.140579	0.20389	615	0	99	0.999798	0.0745431	0.131111	0.0950486	0.0950706	0.0142449	2341	2944	0	0.0362572
5	0	5122	917	903	989.304	1165.81	1277.99	-0.195099	0.609535	0.522999	0.274007	0.476296	0.226418	471	0	100	1	0.13181	0.223155	0.11202	0.112047	0.0170941	1324	nan	nan	nan
5	1	6404	1125	1123	1236.92	1268.77	1313.27	-0.0619079	0.0879873	0.232123	0.289507	0.229002	0.273931	617	0	99	0.999798	0.084804	0.148813	0.0973166	0.0973197	0.0152208	2375	2996	0	0.0477966
6	0	4749	753	744	917.26	1101.99	1167.51	-0.122886	0.688002	0.768232	0.593105	0.70982	0.514786	444	0	95	0.99899	0.137321	0.225732	0.114446	0.114464	0.0175397	1287	nan	nan	nan
6	1	6361	1241	1237	1228.61	1228.25	1176.38	0.0726537	-0.00101343	-0.0140276	-0.0214544	-0.000505802	5.43843e-05	602	0	96	0.999192	0.0792453	0.139443	0.0946038	0.09461	0.0139551	2575	2781	0	0.0394544
7	0	4793	844	836	925.758	1104.39	1222.62	-0.219722	0.659187	0.570678	0.304453	0.530328	0.267815	454	0	96	0.999192	0.134182	0.22658	0.113456	0.113472	0.0180105	1225	nan	nan	nan
