rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	4795	878	867	926.145	1091.69	1189.32	-0.18137	0.610635	0.477556	0.20053	0.438686	0.168949	482	0	99	0.999798	0.13058	0.218561	0.112013	0.112036	0.0171155	1336	nan	nan	nan
0	1	5961	1138	1135	1151.36	1200.02	1134.46	0.097976	0.144424	0.111219	0.044642	0.116476	0.059089	612	0	96	0.99899	0.0872483	0.153498	0.0987585	0.0987633	0.0149674	2298	2780	0	0.0433273
1	0	4830	831	825	932.905	1087.02	1165.08	-0.143943	0.564383	0.552888	0.363212	0.517475	0.324749	459	0	99	0.999798	0.121557	0.20766	0.110815	0.110827	0.0167128	1360	nan	nan	nan
1	1	6197	1205	1196	1196.94	1207.85	1243.68	-0.0515043	0.0311641	0.0195068	0.00246318	0.0227522	0.00916495	577	0	97	0.999192	0.0866688	0.152816	0.0955234	0.0955376	0.0155848	2401	2782	0	0.0373461
2	0	4773	924	916	921.895	1097.45	1232.75	-0.252477	0.650568	0.387442	0.0200798	0.361915	0.0212745	463	0	100	1	0.126991	0.213493	0.113036	0.113052	0.0171079	1341	nan	nan	nan
2	1	6318	1185	1175	1220.31	1247.46	1214.8	0.0460604	0.0760347	0.116958	0.116707	0.111271	0.106306	615	0	99	0.999798	0.076777	0.134378	0.0968569	0.0968723	0.0142943	2591	2744	0	0.0500408
3	0	4802	836	833	927.497	1085.11	1107.43	-0.041403	0.580551	0.535069	0.319926	0.506976	0.295939	466	0	99	0.999798	0.114351	0.193669	0.111251	0.111257	0.0159695	1313	nan	nan	nan
3	1	6062	1104	1086	1170.86	1175.8	1155.72	0.0295112	0.0144014	0.151045	0.227791	0.129264	0.183008	587	0	99	0.999798	0.0833196	0.144672	0.0951734	0.0952024	0.0147573	2328	2791	0	0.0351096
4	0	4598	809	792	888.094	1080.48	1235.24	-0.299793	0.740018	0.639341	0.339707	0.574851	0.269809	427	0	98	0.999596	0.142919	0.239234	0.115745	0.11578	0.0186028	1269	nan	nan	nan
4	1	6195	1227	1208	1196.55	1194.37	1213.21	-0.027096	-0.00623858	-0.02244	-0.0300721	-0.0310942	-0.0417893	573	0	98	0.999596	0.0824992	0.146086	0.0944276	0.0944578	0.0143951	2534	2696	0	0.0469603
5	0	4890	872	863	944.494	1107.78	1200.96	-0.169728	0.590639	0.510189	0.270959	0.472795	0.236369	466	0	100	1	0.116997	0.199796	0.111497	0.111515	0.0168132	1338	nan	nan	nan
5	1	6113	1172	1162	1180.71	1224.49	1169.72	0.0798174	0.126671	0.104228	0.0498137	0.0993541	0.0476025	613	0	97	0.999394	0.0803338	0.141175	0.0982518	0.0982678	0.0154847	2313	2815	0	0.0333593
6	0	4645	873	854	897.172	1037.72	1062.24	-0.0470009	0.535183	0.403072	0.151083	0.35306	0.100796	445	0	98	0.999596	0.116064	0.198278	0.109833	0.109872	0.0167507	1331	nan	nan	nan
6	1	5997	1289	1280	1158.31	1127.75	1133.93	-0.00917193	-0.0901391	-0.258861	-0.330176	-0.234011	-0.279728	583	0	94	0.998586	0.0755504	0.135401	0.0918953	0.0919096	0.0151296	2376	2712	0	0.0453312
7	0	4896	863	857	945.653	1108.25	1251.15	-0.259979	0.5874	0.523018	0.294402	0.490318	0.26535	476	0	100	1	0.128294	0.209763	0.11142	0.111432	0.0165284	1359	nan	nan	nan
7	1	6177	1188	1178	1193.08	1247.35	1195.19	0.0752271	0.155446	0.114486	0.0397139	0.109088	0.0390906	606	0	94	0.998788	0.0867876	0.149749	0.0990579	0.0990737	0.0149745	2373	2824	0	0.0390933
8	0	4884	799	791	943.335	1114.99	1105.57	0.017178	0.621666	0.676106	0.507119	0.62725	0.443879	483	0	96	0.999192	0.114274	0.19656	0.112519	0.112535	0.0166355	1294	nan	nan	nan
8	1	6203	1204	1198	1198.1	1176.23	1185.35	-0.0131008	-0.0623718	-0.0357924	0.000254231	-0.0239932	0.0140897	601	0	97	0.999394	0.075782	0.135418	0.0928798	0.0928892	0.0140595	2362	2891	0	0.0290027
9	0	4851	756	753	936.961	1161.94	1222.52	-0.111226	0.820327	0.859176	0.616551	0.806005	0.553081	458	0	100	1	0.136907	0.229643	0.118209	0.118216	0.0177147	1318	nan	nan	nan
9	1	6215	1131	1122	1200.41	1259.96	1289.85	-0.0428454	0.169505	0.226362	0.205318	0.213511	0.184979	630	0	99	0.999798	0.0906019	0.153178	0.0995549	0.099569	0.0146752	2402	2821	0	0.0446828
0	0	4815	838	821	930.008	1068.59	1316.44	-0.458493	0.509067	0.524055	0.368062	0.469276	0.296711	427	0	96	0.999192	0.137931	0.22866	0.109233	0.109268	0.0174199	1295	nan	nan	nan
