rep	pop	S	n1	next	theta	pi	thetaH	Hprime	tajd	fulif	fulid	fulifs	fulids	rm	rmmg	nhaps	hdiv	wallb	wallq	rosasrf	rosasru	zns	unique	shared	fixed	Fst
0	0	2710	552	552	523.431	615.484	1149.02	-1.75232	0.600422	0.238299	-0.170837	0.240379	-0.120748	139	0	99	0.999798	0.331488	0.472325	0.111527	0.111527	0.0371974	851	nan	nan	nan
0	1	6462	1127	1116	1248.12	1286.25	1266.25	0.0275693	0.104385	0.268677	0.332761	0.249643	0.291805	627	0	96	0.99899	0.090698	0.159858	0.0977889	0.0978055	0.0150849	3686	1594	0	0.155457
1	0	3033	604	599	585.818	844.249	1042.94	-0.583185	1.50636	0.822928	-0.0704877	0.766891	-0.0568692	236	0	98	0.999596	0.264182	0.400923	0.137196	0.137211	0.0263197	934	nan	nan	nan
1	1	6335	1258	1243	1223.59	1203.8	1216.32	-0.0175977	-0.0552604	-0.0630939	-0.0498564	-0.0621454	-0.0490722	606	0	100	1	0.0814651	0.142226	0.0930367	0.09306	0.014189	3415	1793	0	0.110962
2	0	2515	589	543	485.767	638.504	961.072	-1.14142	1.07336	0.38616	-0.368567	0.20787	-0.549257	162	0	96	0.999192	0.304296	0.438569	0.124658	0.124811	0.0300967	760	nan	nan	nan
2	1	5899	1193	1174	1139.38	1121.05	1156.87	-0.0541042	-0.0549783	-0.0915269	-0.095487	-0.096247	-0.100636	560	0	97	0.999394	0.0851136	0.149686	0.0930109	0.0930415	0.014554	3363	1512	4	0.129216
3	0	3287	500	500	634.877	876.354	1087.38	-0.571598	1.2989	1.1656	0.665824	1.09597	0.604737	250	0	99	0.999798	0.244979	0.379982	0.131788	0.131788	0.0245974	898	nan	nan	nan
3	1	6010	1131	1128	1160.82	1190.25	1081.73	0.160854	0.0866199	0.105607	0.0888541	0.111052	0.0974538	610	0	98	0.999596	0.0817108	0.145923	0.0971473	0.0971522	0.0140916	3087	2022	0	0.0868285
4	0	3006	471	470	580.603	740.183	1152.59	-1.2213	0.938512	0.914702	0.596692	0.860477	0.540181	212	0	97	0.999394	0.266556	0.403859	0.121554	0.121558	0.0274746	796	nan	nan	nan
4	1	6331	1252	1238	1222.82	1224.52	1115.64	0.153217	0.00475191	-0.0217118	-0.0390211	-0.0223534	-0.0374786	607	0	99	0.999798	0.0680885	0.123361	0.0947403	0.0947622	0.0140258	3339	1893	0	0.111611
5	0	2648	780	647	511.456	448.249	1255	-2.71159	-0.421913	-0.763444	-0.829364	-1.15483	-1.39777	138	0	97	0.999394	0.299962	0.438066	0.0820006	0.0822832	0.0324534	809	nan	nan	nan
5	1	6187	1204	1194	1195.01	1204.31	1226.02	-0.0312606	0.0265927	0.0169871	0.00264737	0.018878	0.00701261	622	0	100	1	0.0826059	0.146113	0.0953928	0.0954086	0.0148593	3533	1593	0	0.197659
6	0	3054	515	513	589.874	829.863	1047.55	-0.634552	1.38925	1.05594	0.408252	0.989619	0.372236	234	0	98	0.999596	0.257779	0.393582	0.134184	0.134191	0.026762	847	nan	nan	nan
6	1	6135	1323	1312	1184.96	1167.45	1137.06	0.0441342	-0.0505029	-0.240256	-0.336952	-0.219447	-0.289713	581	0	98	0.999596	0.0810238	0.142461	0.093004	0.0930215	0.0144752	3209	1888	0	0.0857201
7	0	2893	733	649	558.777	683.304	1107.06	-1.30386	0.760926	0.120653	-0.505625	-0.138282	-0.81929	194	0	97	0.999394	0.270401	0.410646	0.115648	0.115891	0.0289333	845	nan	nan	nan
7	1	6220	1269	1261	1201.38	1191.33	1142.71	0.0696489	-0.028575	-0.114212	-0.15598	-0.0988209	-0.125769	607	0	98	0.999596	0.0741277	0.133762	0.0937359	0.0937485	0.0143606	3375	1724	0	0.15645
8	0	2986	508	506	576.74	831.312	1037.96	-0.616069	1.50719	1.10869	0.384174	1.03858	0.351158	229	0	97	0.999394	0.266332	0.40288	0.137505	0.137512	0.0288719	806	nan	nan	nan
8	1	6139	1104	1095	1185.74	1198.17	1196.68	0.00216068	0.0358285	0.171363	0.240509	0.162117	0.215219	607	0	97	0.999394	0.0757576	0.133735	0.0957961	0.0958104	0.0142612	3253	1845	0	0.109089
9	0	2946	514	514	569.014	835.589	975.825	-0.423742	1.59966	1.11083	0.302799	1.04731	0.290015	242	0	97	0.999394	0.264516	0.394773	0.140078	0.140078	0.0280031	827	nan	nan	nan
9	1	5874	1153	1143	1134.55	1117.21	1055.16	0.0941065	-0.052234	-0.0447714	-0.0234017	-0.0390711	-0.0167723	572	0	98	0.999596	0.0813894	0.142152	0.0931459	0.0931624	0.0150209	3139	1793	0	0.0835071
0	0	3119	544	532	602.429	737.939	1152.85	-1.18427	0.768122	0.672041	0.366278	0.60376	0.290927	259	0	96	0.99899	0.244387	0.378326	0.116562	0.116599	0.0248923	820	nan	nan	nan
0	1	6307	1242	1233	1218.18	1195.91	1161.66	0.0483803	-0.0624708	-0.0599641	-0.0382287	-0.0504984	-0.025733	611	0	94	0.998788	0.0783381	0.137308	0.0928518	0.0928658	0.014796	3312	1961	0	0.106783
1	0	2758	593	564	532.702	607.482	1028.94	-1.36017	0.47928	0.160389	-0.183922	0.0698727	-0.279889	177	0	100	1	0.22996	0.344453	0.108031	0.108112	0.0289076	843	nan	nan	nan
1	1	5807	1181	1168	1121.61	1093.36	1029.83	0.0974626	-0.0860554	-0.131049	-0.129969	-0.123514	-0.116668	585	0	99	0.999798	0.0704444	0.125022	0.092121	0.0921428	0.0148524	3211	1631	0	0.125535
2	0	2893	585	553	558.777	778.969	1057.66	-0.857502	1.34549	0.794778	0.0323759	0.652199	-0.100012	213	0	100	1	0.266252	0.400968	0.132627	0.132727	0.0260266	802	nan	nan	nan
2	1	6313	1356	1335	1219.34	1180.22	1203.92	-0.0334539	-0.10964	-0.25002	-0.298145	-0.24309	-0.277706	602	0	99	0.999798	0.0776299	0.133376	0.0913435	0.0913753	0.0142546	3456	1809	0	0.098095
3	0	2708	510	501	523.045	682.834	1083.45	-1.31673	1.04301	0.683052	0.13192	0.620301	0.0951253	177	0	98	0.999596	0.302918	0.447932	0.124203	0.124234	0.0291374	824	nan	nan	nan
3	1	6349	1212	1203	1226.3	1260.59	1198.3	0.0874152	0.0955617	0.0925022	0.0597152	0.0904622	0.0592584	626	0	100	1	0.0800252	0.137817	0.0973746	0.0973882	0.0144353	3538	1620	0	0.142101
4	0	2714	553	526	524.204	700.662	1026.87	-1.06981	1.14927	0.654668	-0.0107264	0.532871	-0.121708	200	0	98	0.999596	0.276447	0.4042	0.127062	0.127155	0.0274435	790	nan	nan	nan
4	1	6259	1264	1251	1208.91	1183.81	1214.19	-0.0432374	-0.0709476	-0.109464	-0.109426	-0.102093	-0.0965839	602	0	99	0.999798	0.078939	0.136124	0.0925636	0.0925838	0.0149951	3490	1671	0	0.117692
5	0	3161	613	594	610.541	799.219	1069.47	-0.761132	1.0553	0.660826	0.0848878	0.574756	0.0164995	233	0	96	0.999192	0.239557	0.372983	0.124501	0.124555	0.0282721	874	nan	nan	nan
5	1	6182	1180	1168	1194.04	1189.4	1125.59	0.0919508	-0.0132872	0.0352946	0.0685469	0.0324367	0.059529	570	0	99	0.999798	0.0841288	0.14801	0.0943038	0.0943228	0.0146179	3198	1940	0	0.0999965
6	0	3222	508	504	622.323	879.777	1044.87	-0.45618	1.41274	1.18721	0.595812	1.10483	0.526584	250	0	99	0.999798	0.232847	0.369957	0.134955	0.134967	0.0254809	860	nan	nan	nan
6	1	6218	1218	1196	1200.99	1187.86	1205.32	-0.0250154	-0.0373786	-0.0133554	0.0130701	-0.0273295	-0.0110531	609	0	99	0.999798	0.0812289	0.141364	0.0935689	0.0936031	0.0144218	3188	2002	0	0.0866053
7	0	2695	642	603	520.534	658.308	1107.11	-1.4822	0.903637	0.20876	-0.495857	0.079613	-0.606033	159	0	100	1	0.332962	0.468275	0.1198	0.119926	0.0332956	885	nan	nan	nan
7	1	6224	1242	1230	1202.15	1190.19	1179.02	0.0159866	-0.0340021	-0.0652225	-0.0728082	-0.0598682	-0.0627578	605	0	100	1	0.0867749	0.149422	0.0936317	0.0936502	0.0145767	3544	1545	0	0.165068
8	0	2461	496	487	475.337	492.216	1130.79	-2.30912	0.121215	0.0215508	-0.0767408	0.00450935	-0.0905355	133	0	98	0.999596	0.32561	0.468509	0.0979988	0.0980331	0.0319873	793	nan	nan	nan
8	1	6032	1216	1209	1165.07	1163.07	1150.26	0.0189285	-0.00584749	-0.0776324	-0.118506	-0.0639279	-0.0915325	563	0	96	0.999192	0.0772675	0.137434	0.0944054	0.0944169	0.0145225	3486	1447	0	0.200935
9	0	2617	562	556	505.468	693.986	908.822	-0.730626	1.27325	0.536283	-0.312827	0.49633	-0.276137	158	0	98	0.999596	0.300841	0.435231	0.130453	0.130475	0.0320728	876	nan	nan	nan
9	1	6105	1144	1130	1179.17	1220.52	1099.72	0.176291	0.119839	0.151198	0.131052	0.136299	0.108722	603	0	99	0.999798	0.0820773	0.145946	0.0980975	0.0981198	0.0145809	3531	1471	0	0.129925
0	0	3484	562	541	672.928	928.588	1258.46	-0.843047	1.29752	1.13275	0.614649	1.00937	0.475506	272	0	99	0.999798	0.260408	0.391217	0.131665	0.131721	0.0242379	846	nan	nan	nan
0	1	6249	1148	1132	1206.98	1240.36	1306.97	-0.0949731	0.094489	0.176821	0.195264	0.157193	0.160585	622	0	97	0.999394	0.0899488	0.155545	0.0974181	0.0974431	0.0152027	3022	2195	0	0.0955657
1	0	2703	535	513	522.079	601.899	1172.32	-1.87832	0.521976	0.334559	0.0544303	0.252332	-0.0397647	173	0	99	0.999798	0.301258	0.444321	0.109371	0.109449	0.0277353	796	nan	nan	nan
1	1	6114	1239	1235	1180.91	1197.01	1222.97	-0.0378389	0.0465819	-0.0633658	-0.143967	-0.0458034	-0.106454	586	0	99	0.999798	0.0853918	0.147367	0.0958737	0.0958802	0.0142967	3424	1638	0	0.168125
2	0	3010	540	533	581.375	793.882	1044.28	-0.740551	1.24812	0.882045	0.260636	0.813496	0.220743	237	0	96	0.999192	0.252576	0.387375	0.130087	0.130109	0.0262517	856	nan	nan	nan
2	1	6090	1315	1295	1176.27	1151.12	1187.36	-0.0530209	-0.0730595	-0.240904	-0.317234	-0.234126	-0.293653	577	0	99	0.999798	0.0773526	0.135304	0.0923668	0.0923987	0.0145581	3196	1871	0	0.110162
3	0	2704	496	489	522.272	567.28	1058.74	-1.6177	0.294215	0.294487	0.1994	0.266172	0.163978	168	0	96	0.999192	0.281539	0.418639	0.103072	0.103097	0.0297253	818	nan	nan	nan
3	1	6214	1191	1183	1200.22	1194.07	1138.78	0.07927	-0.0175143	0.0181649	0.0450994	0.0228039	0.0484303	608	0	100	1	0.0774183	0.137271	0.094171	0.0941836	0.0140143	3486	1636	0	0.154293
